URL,Size,OutLinks,ContentType
https://www.nbcnews.com/storyline/airplane-mode/two-officers-fired-after-doctor-dragged-united-airlines-flight-n811546,74193,83,text/html
https://www.nbcnews.com/widget/video-embed/1026257475766?playerType=Onsite%20Embedded,18866,3,text/html
https://www.nbcnews.com/widget/video-embed/1020686915832?playerType=Onsite%20Embedded,18887,3,text/html
https://www.nbcnews.com/storyline/airplane-mode/six-overseas-airlines-now-free-u-s-laptop-ban-n781936,71592,78,text/html
https://www.nbcnews.com/storyline/airplane-mode/flight-attendants-train-spot-human-trafficking-n716181,88608,92,text/html
https://www.nbcnews.com/storyline/airplane-mode/plane-carrying-oklahoma-city-thunder-suffers-major-dent-after-bird-n815336,72847,81,text/html
https://www.nbcnews.com/storyline/airplane-mode/atlanta-power-outage-highlights-larger-problem-aging-u-s-airports-n831246,84128,92,text/html
https://www.nbcnews.com/storyline/airplane-mode/be-careful-lithium-ion-batteries-europe-warns-christmas-air-travelers-n831241,75317,82,text/html
https://www.nbcnews.com/storyline/airplane-mode/serial-stowaway-marilyn-hartman-arrested-again-chicago-airport-n839521,73657,80,text/html
https://www.nbcnews.com/storyline/airplane-mode/london-bound-delta-passengers-flight-got-turned-around-twice-n834326,64326,78,text/html
